序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
187,0,294224845857,66022495,Oo答应不爱你oO,6,保密,41岁，找工作都嫌老，但是死了又说真年轻,2026-03-26 10:24:43,3,11,QQ1224029670,江西,否,https://i1.hdslb.com/bfs/face/7e7ac269c3cf76f4dc1fb07a92f59f1240528bc4.jpg
188,294224845857,296751139264,173441597,Lizy_栗子,6,保密,"嫌老，是因为这个年纪离退休时间很近了，工作时间不长，精力和体力都不如年轻小伙。
说年轻，是因为这个年纪甚至刚走到人生长度的一半却戛然而止。",2026-03-26 12:08:48,0,0,ⓘ该账号已封禁,云南,是,https://i2.hdslb.com/bfs/face/c53390cf03856d6f9586212405e4a2b7007aacd5.jpg
189,294229831249,294235212209,398492370,麻勒格毕-尼斯莎毕,6,保密,回复 @嘉然想吃邪魔族幼虫 :辣你雷霆呢，到处乱刷,2026-03-26 12:12:55,0,0,ⓘ该账号封禁中,湖南,否,https://i0.hdslb.com/bfs/face/d34b1f21d15bb1fcc8aa8de589d055320122d2be.jpg
190,294229831249,296752015504,199164545,mmyinhe,6,男,回复 @嘉然想吃邪魔族幼虫 :扫了冯了😅😅😅,2026-03-26 12:17:41,0,0,我真想不出好点子来,河北,否,https://i2.hdslb.com/bfs/face/d05633a20304c4ac8cc88274b1ffa9d6edbce17f.jpg
191,0,296724041728,82237335,希望简行,6,保密,如果我是这个家长，现在肯定很难受。张老师临走前最后一个连麦，帮她把下架的课程又上架了两分钟。哭死[大哭],2026-03-26 07:15:11,4,61,,天津,是,https://i0.hdslb.com/bfs/face/cd31e0f0bfe4de730dd99fdff4af4a758b4bcd1b.jpg
192,296724041728,296724600528,25139715,王路伊,6,女,他都很累了，,2026-03-26 07:23:18,0,5,"山海袅娜，星河旖旎，人世间所有美好存在里，我最爱我自己。
关键处见性格，细节处看人品。
世界因不同而多彩，允许自己做自己，允许别人做自己",江西,否,https://i0.hdslb.com/bfs/face/a0299a3e9339fa349ee86efb0e929c5e47d218fb.jpg
193,296724041728,296724726032,13112817,真假小小,6,保密,这个家长说现在不方便，要晚上才买,2026-03-26 07:23:50,0,9,,北京,否,https://i0.hdslb.com/bfs/face/924ed0382eaf926a642e9234b3e0c03bca31c19b.jpg
194,296724041728,296747897856,2226812,捏鼠,6,保密,希望家长不要被网暴,2026-03-26 11:37:57,0,2,,北京,是,https://i2.hdslb.com/bfs/face/be9d65205b6008d57c1ce92a75a1ac8b90f0bedc.jpg
195,296747897856,296750169648,387097414,凉月_土木版,6,男,回复 @捏鼠 :和家长没啥关系吧,2026-03-26 11:58:53,0,1,一个准备提桶跑路的土木人,吉林,否,https://i1.hdslb.com/bfs/face/32adc4d9c45b0fcbe601b48380e607a6da7e7e4b.jpg
196,0,294221714577,33877655,佛祖芯中留,6,男,再牛 b 的保险也买不了命，人啊，认清自己是最重要的事，也是最难的,2026-03-26 09:50:21,1,6,,北京,否,https://i2.hdslb.com/bfs/face/f159b2a1b45444c26cb0c7db848afa1bfe5efc49.jpg
197,294230007265,294230205073,24973486,Z杨阳洋L,6,男,回复 @嘉然想吃邪魔族幼虫 :怎么哪都有你机器人？,2026-03-26 11:20:41,0,0,不放弃！不弃馁！不坚持到最后一刻 怎见输赢！,江苏,否,https://i1.hdslb.com/bfs/face/80b6ef38339641ef86a23b6ceb65b2fab2079ef6.jpg
198,0,296737184128,3537110709570139,电动车v的,3,保密,一感觉到累得不行了，或是头有点晕乎，就立马睡觉，睡不着也是躺着听故事。不躺个二三个小时坚决不起来,2026-03-26 09:50:51,0,19,12345上山打老虎,浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
199,0,296751405168,26343141,就這醬紫ba,5,保密,"唉,晚上7点,晚上7点,,,,,,,,,",2026-03-26 12:12:00,0,1,,江苏,否,https://i0.hdslb.com/bfs/face/d9c40ab42352c136d3fd194bee5d7c2fe2d3df99.jpg
200,0,296748286656,486841516,优秀浦饭,5,男,李小龙不就是这样吗 只不过不是心脏,2026-03-26 11:40:22,0,2,,北京,否,https://i1.hdslb.com/bfs/face/dfe77fd9fb029011dbdde35e6960f652ead8ee84.jpg
201,0,294232841153,11753152,bvvd的抵迪爆炸了,6,保密,为什么不喝六位地黄饮中药养养生,2026-03-26 11:48:45,0,0,,广东,是,https://i1.hdslb.com/bfs/face/7b46ee1165c14176a34882e7e95bad1ab18f0c40.jpg
202,0,294219344017,274372080,破执斩妄,6,保密,面色潮红，红色入心，心脏的力量收束不住了就浮现在脸上么？诶,2026-03-26 09:22:41,0,27,养心莫善于寡欲,河南,是,https://i0.hdslb.com/bfs/face/96382aad1faf13c4bf2f248eca5ad2751d973b9f.jpg
203,0,296742530048,3546970742327430,修改鑈称需要6枚硬币,3,保密,选错了[笑哭],2026-03-26 10:44:57,0,0,,河南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
204,0,294211330881,3706942260251498,ZeroUp_xX,2,保密,估计是心脏不舒服所以去跑步，因为一般跑步的时候人体血液循环会加快能掩盖一些问题，但是恰好今天心脏受不住了,2026-03-26 07:32:22,0,38,我是零上，你看到的这个是个性签名,湖南,否,https://i2.hdslb.com/bfs/face/58e3f4ebf6d0fb979f3a551ff5cc6eef98ab8f67.jpg
205,0,296740433392,1833424,小仙女喜喜,5,男,[委屈]看得好难过……,2026-03-26 10:23:53,0,3,,广东,是,http://i1.hdslb.com/bfs/face/13c363eba0f87c54eec0c6604d8ab50f18c8227e.jpg
206,0,296736674816,406603640,Magic_Lampa,6,男,去年，七八月在公司，可能因为开了空调的原因，感觉喘不上气，感觉那口气就一直卡在胸口那个位置，非常难受，幸好没有出现他这种情况，人生无常，身体健康才是本钱,2026-03-26 09:45:02,0,0,,上海,是,http://i2.hdslb.com/bfs/face/b789227695be62f3ec67542e1fde73ec883dbc64.jpg
207,0,296706832272,3546685401729319,巢雀的比逗是我,3,保密,之前看到过一个新闻，小孩头骨很硬无法发育但大脑正常，每天忍受极高颅内压眩晕头痛但小孩已经习惯，以为这是正常的，爸爸还说不必在意。所以说身体有没有问题自己是最清楚的，每年定期体检，身体不好就不要高强度运动,2026-03-26 03:55:53,0,17,,广东,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
208,0,294221448609,3546912890292294,人间-饕餮,4,保密,工作疲惫不睡觉去跑步的习惯最好不要有，工作累了就休息，无论是什么样的休息哪怕是看书都不要去跑步,2026-03-26 09:46:38,0,2,张雪峰告诉我们：一个人在搞研究，天天跑步和不睡觉之间最多选择两项,安徽,否,https://i0.hdslb.com/bfs/face/f57e1ec7e1536346422a713136514184e0487ed6.jpg
209,0,294213422753,1786067,终世纪战士,6,保密,眼袋都肿成这样了，是真的把身体压榨完了,2026-03-26 08:03:40,0,68,男女混血,江苏,否,https://i2.hdslb.com/bfs/face/2f64f7dee15c59bb3b170800637a979f0536e685.jpg
210,0,294176895105,1037507177,大事化蛋糕oxo,4,女,感觉这个视频他就有点不舒服了，脸也肿着,2026-03-25 22:41:37,0,37,你在的地方就有光，愿你前路无忧。,四川,否,https://i2.hdslb.com/bfs/face/cfd0890795480406a6bee56449859171b2b82177.jpg
211,0,296687997840,3632306870814900,小Q影娱八卦局,3,保密,他说七点，他爽约了[元梦_哭哭],2026-03-25 22:41:37,0,18,你的好看值得被世界赞美，祝你被爱包围。,四川,否,https://i0.hdslb.com/bfs/face/ff4766a3ec217190e9c440d5ba44ea98fbd22c79.jpg
212,0,296733936032,909013,糖炒冰棍,6,保密,下播了就去跑步,2026-03-26 09:16:17,0,2,,安徽,否,https://i1.hdslb.com/bfs/face/bce876de8cb5bcdf66a28fe208213b513f12b30f.jpg
213,0,296716232064,25171545,秋风随月,6,保密,我健身，那哪天身体不舒服或者练时候感觉不舒服就会停练,2026-03-26 05:33:54,0,8,只搬运有意思的、有用的视频或文章,河南,否,https://i0.hdslb.com/bfs/face/448ec2e2b5dca432a3f033f0399d7bd093d7ea1f.jpg
214,0,294220033313,697016064,姑苏下了一夜雨,5,保密,那女的晚上7点被连麦了吗,2026-03-26 09:30:18,0,2,,北京,否,https://i0.hdslb.com/bfs/face/b2d1ef271aa6c8c0319ec42881cc83cf578eac3a.jpg
215,0,296729743712,41890347,术仙森,5,男,睡觉吧，累了就睡,2026-03-26 08:30:53,0,2,,山东,是,https://i0.hdslb.com/bfs/face/28cd6c4f38ac94bb7037528533f406001e37e177.jpg
216,0,294203197633,403807466,-Spril-,6,保密,人体的容错率很高，但没那么高，因为一旦超出容错，后果实在太严重！,2026-03-26 05:36:35,0,12,什么时候才能学会英语日语韩语粤语法语钢琴吉他小提琴尤克里里笛子贝斯古筝琵琶还有架子鼓呢,安徽,是,https://i2.hdslb.com/bfs/face/0065d1d088174999861408bf9f853f54224d4e12.jpg
217,0,294209843185,1001962390,KanameGretchen,5,男,死神来收人头了,2026-03-26 07:08:39,0,0,,广西,否,https://i1.hdslb.com/bfs/face/5b6fd36af653a5564c9fc20f3d5540962a625c5a.webp
218,0,294195759969,108427055,小晓霞霞和小晓天河,5,保密,硅胶人,2026-03-26 04:12:18,0,3,,辽宁,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
219,0,296705465056,274766632,喵以大橘为重-,5,保密,还是直播能赚太多了，睡觉又不能赚钱,2026-03-26 03:39:32,0,9,,广西,否,https://i1.hdslb.com/bfs/face/518613403be50fe8b764a2993f20eb009d30839a.jpg
220,0,294217541617,25412565,派大星呆呆滴,6,男,像物资是怎么回事[藏狐],2026-03-26 08:59:25,0,0,老板不要放香菜,安徽,是,https://i0.hdslb.com/bfs/face/7e697ea5bd87c41454282262e5f8bfac4385c686.jpg
221,0,296746574144,3690981006248630,涵涵很乖a,3,保密,尿毒症缠身，并发症恶化，孩子每日透析苦不堪言。[委屈][委屈][委屈]家庭已倾尽所有，负债累累，无力医治。含泪求助！恳请好心人帮帮孩子，每一份帮助、每一次转发，都能救孩子一命！求扩散！[保佑][保佑][保佑],2026-03-26 11:22:53,0,3,感谢大家的关注和支持第一个作品是小孩的水滴详细，小女孩不幸患尿毒症➕9种疾病缠身,河北,否,https://i2.hdslb.com/bfs/face/38a0dbbebbd0081950e37c0bc120e83b7cbc1aac.jpg
222,0,294176896401,3632317008447555,杰杰同学丫,4,保密,早上看直播就感觉眼睛不太对劲,2026-03-25 22:41:44,0,10,有你点赞真开心，愿你此刻快乐。,四川,否,https://i0.hdslb.com/bfs/face/6acf7bc14516eed4bddb5a1f81fd413f2df7a367.jpg
223,0,294190883233,485268959,张妍3431,5,保密,眼睛明显看着很疲惫。,2026-03-26 03:09:48,0,6,,云南,否,https://i2.hdslb.com/bfs/face/e1ad4e4fcbc46a78b76e3c5a9405f2a5ebdaba59.jpg
224,0,294192617697,91530466,闪闪发光大懒猫Oo,6,男,看着怪难受的,2026-03-26 03:35:00,0,3,开心每一天,山东,否,https://i1.hdslb.com/bfs/face/7e29a44ac34bdffd8f73b0b507df84d600104e6f.jpg
225,0,294178948961,269021209,重生之我在B站打螺丝,6,保密,这种被需要的感觉,2026-03-25 23:49:37,0,2,,江苏,是,https://i1.hdslb.com/bfs/face/f1317d88c91a3b3514bc3e8d4c0c7d8c47ad16b0.jpg
226,0,296692007584,3546976031344917,霜霭霖雲,3,保密,真的太突然了[大哭],2026-03-26 00:24:33,0,1,,黑龙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
227,0,294196479873,1004826095,qweqaaerqweaa,5,保密,为什么要强撑呢？,2026-03-26 04:20:06,16,3,,浙江,否,https://i2.hdslb.com/bfs/face/e8704b8fbec387ba6a428526dcc1c9766fd992db.jpg
228,294196479873,294197762401,391618671,SHDJGGK,5,男,他公司最大ip就是自己，又换不了别人,2026-03-26 04:30:28,0,1,无限远点的弧光灯，交叉坐标的星辰,广东,否,https://i0.hdslb.com/bfs/face/38a22b54ae32d804f89f0a399613b9cd4a2dc3c4.jpg
229,294197762401,296712273920,36409206,秋生星河,5,保密,回复 @SHDJGGK :就连影视飓风都在去个人化，他去不了？,2026-03-26 04:48:46,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
230,296712273920,294200525169,391618671,SHDJGGK,5,男,回复 @秋生星河 :影视飓风是技术导向啊？又不是这种咨询类，大家信的不是某个公司是他这个人啊？他不出来你看营收直接腰斩，他手底下两个公司要养[哦呼],2026-03-26 05:02:10,0,3,无限远点的弧光灯，交叉坐标的星辰,广东,否,https://i0.hdslb.com/bfs/face/38a22b54ae32d804f89f0a399613b9cd4a2dc3c4.jpg
231,294200525169,296713638704,36409206,秋生星河,5,保密,回复 @SHDJGGK :你以为看影视飓风为了看谁？,2026-03-26 05:03:19,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
232,296713638704,294200633537,391618671,SHDJGGK,5,男,回复 @秋生星河 :不一样的，业务导向就不一样,2026-03-26 05:03:49,0,0,无限远点的弧光灯，交叉坐标的星辰,广东,否,https://i0.hdslb.com/bfs/face/38a22b54ae32d804f89f0a399613b9cd4a2dc3c4.jpg
233,294200525169,296713726496,36409206,秋生星河,5,保密,回复 @SHDJGGK :教育机构能说会道多了，不去让人出头公司不就他一个露脸的,2026-03-26 05:04:20,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
234,296713726496,294200837729,391618671,SHDJGGK,5,男,回复 @秋生星河 :都说了又不是没试过？直接营收腰斩了OK？,2026-03-26 05:05:18,0,1,无限远点的弧光灯，交叉坐标的星辰,广东,否,https://i0.hdslb.com/bfs/face/38a22b54ae32d804f89f0a399613b9cd4a2dc3c4.jpg
235,294200837729,296713976416,36409206,秋生星河,5,保密,回复 @SHDJGGK :你要不看看新东方老师出来的多少能说的,2026-03-26 05:07:09,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
236,294200837729,296714092144,36409206,秋生星河,5,保密,回复 @SHDJGGK :他赚的钱三辈子都花不完，你不用替他操心腰不腰斩,2026-03-26 05:08:03,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
237,296713976416,294201022833,391618671,SHDJGGK,5,男,回复 @秋生星河 :不是能不能说的问题啊？唉，是别人除了张雪峰其他不认，特别是穷人家的，只认这个人OK？和能不能说有个屁的关系,2026-03-26 05:08:12,0,1,无限远点的弧光灯，交叉坐标的星辰,广东,否,https://i0.hdslb.com/bfs/face/38a22b54ae32d804f89f0a399613b9cd4a2dc3c4.jpg
238,294196479873,296714303760,36409206,秋生星河,5,保密,还有影视飓风现在转型成功，最大的收益是做自己的品牌加直播带货,2026-03-26 05:10:15,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
239,296714303760,296714485984,36409206,秋生星河,5,保密,回复 @秋生星河 :符合Ip说不过就拉黑[吃瓜]UID:391618671,2026-03-26 05:11:02,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
240,296714485984,296714567616,36409206,秋生星河,5,保密,回复 @秋生星河 :还有他是头部不是独一家,2026-03-26 05:13:09,0,0,我的大多伤春悲秋都来源于我的游手好闲​——此用户非常好吃,江苏,是,https://i0.hdslb.com/bfs/face/01711985a680b41bc657ddb4e72941b71a029701.jpg
241,294196479873,294217348369,358338964,倒计时-滴答滴答,6,保密,贪婪,2026-03-26 08:58:08,0,1,不忘初心，方得始终！,上海,否,https://i1.hdslb.com/bfs/face/70fe34075712c53df6c2a855fc65520ad74a3901.jpg
242,294196479873,294221346817,3546695568722611,希望田野-,3,保密,野心欲望，惯性,2026-03-26 09:46:56,0,0,,四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
243,294196479873,294222150065,3493260081236479,神明157,5,保密,因为有钱赚啊。,2026-03-26 09:55:37,0,0,,河北,否,https://i1.hdslb.com/bfs/face/1c93b1920b79452961dfaf11405dbf344f89fc42.jpg
244,0,296688080320,3690972783315441,马上来剪辑,5,保密,这个家长在挽留张老师[tv_流泪]………没留住,2026-03-25 22:41:38,8,27,因为有你，我的世界更亮。,天津,否,https://i0.hdslb.com/bfs/face/633309bf66ff0b2f2f8824bcf284d235cd760bc9.jpg
245,296688080320,296724550336,673799140,Sanae711,5,保密,别太离谱,2026-03-26 07:23:13,0,13,,四川,是,https://i1.hdslb.com/bfs/face/05b940544bb2b5035d544ca76e292a92e8ef77f1.jpg
246,296688080320,294217268593,359490664,希望晨光2,6,保密,迷信,2026-03-26 08:57:24,0,3,早安,陕西,否,https://i1.hdslb.com/bfs/face/624cc32505d59fc48d795213388405e3efc7db19.jpg
247,296688080320,294220490257,498868656,赤开团时,5,男,何意味,2026-03-26 09:35:14,0,1,"你好呀，天天开心哦
你的行动，要把你自己人身中的人性，和其他人身中的人性，在任何时候都同样看作是目的，永远不能只看作是手段",山西,否,https://i0.hdslb.com/bfs/face/e24ac474073be1f30368070bb09da0dc31b55dff.jpg
248,296688080320,294224620849,14691663,takkko,6,保密,招笑,2026-03-26 10:22:37,0,1,,江苏,否,https://i0.hdslb.com/bfs/face/41898a1bb6824c636f1a76e5e187749148efd3ad.jpg
249,296688080320,294224621713,1962347086,叶凌花荣,5,女,@马上来剪辑 你看不出来吗？他的状态要是和他讲完就猝死在直播间了,2026-03-26 10:22:38,0,2,对于被给予东西，都要付出相应的代价，否则就会受伤,河北,否,https://i1.hdslb.com/bfs/face/3e69a5962d47ab5a312b64893b7244ea32ba465f.jpg
250,296688080320,294225378241,1574057959,陆叁贰肆黑格尔,5,保密,这是在催命吧,2026-03-26 10:29:18,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/514f135e62ceb82bcc62c6c38d234ea81ed0bfa3.jpg
251,296688080320,294225985009,17326995,琥珀川南,6,保密,逆天,2026-03-26 10:36:57,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/7a85eb5944981a0b9efca00f18df0f6d16901255.jpg
252,294224621713,296753247376,650925323,绍兴树人,5,保密,回复 @叶凌花荣 :要是真倒在直播间里面，边上马上就有人来救,2026-03-26 12:30:25,0,0,对自己残忍就是对敌人残忍，对自己仁慈就是对敌人的仁慈,浙江,否,https://i2.hdslb.com/bfs/face/4fbf23c67f9c4340cb99f21dd72cb413a86121ce.jpg
253,0,296745908864,3546975637080426,莫洛托夫鸡尾jiu,3,保密,RIP,2026-03-26 11:17:40,0,0,,河南,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
254,0,296730231408,103082734,ccml007,5,保密,张老师到底还要被你们当流量消费多少、消遣多久！,2026-03-26 08:37:32,0,4,,广西,否,https://i1.hdslb.com/bfs/face/02b277980a76689fe796070cbb4944f79d09663d.jpg
255,0,294210634497,439149651,努力坚持中,5,男,来世不做人类[生病],2026-03-26 07:21:43,0,1,本人1984年的,天津,是,https://i0.hdslb.com/bfs/face/d1b95c31cb881bb743b7d04ea19f529d28e10747.jpg
256,0,294176896561,3546978046708266,一Z小牛马,5,保密,张老师说现在上，你还晚上，这下没晚上了，一路走好张老师[doge_金箍],2026-03-25 22:41:45,0,10,谢谢你路过我的世界，愿你永远心平气和。,四川,否,https://i0.hdslb.com/bfs/face/0f2a5784f0aa4b297b9401af4e292309d2271daa.jpg
257,0,294234650177,597743083,伊春第一车厘子,6,男,直播老累了，你自己直播打游戏，打一晚上也累，再加上解说，再加上连线，早上也有晚上也有，他还得全国跑，他还睡眠短，他还跑马拉松,2026-03-26 12:07:44,0,1,,吉林,否,https://i1.hdslb.com/bfs/face/6e7ee177b5cc681b9609c07f8d5eb574b52d409c.jpg
258,0,296717054624,424253431,慧光x,6,保密,看着就累啊…,2026-03-26 05:42:59,0,1,照耀我的天真 那永远闪光的梦想 就像你爱这世界 你无尽的光芒,广东,是,https://i1.hdslb.com/bfs/face/44f6e0112672daa968a3093d195e1931fc27e5c6.jpg
259,0,294176788161,3546971140786786,苹果不酸不吃,4,保密,张老师，眼睛已经明显异常[鸣潮_祈愿][鸣潮_祈愿][鸣潮_祈愿],2026-03-25 22:41:44,0,1,感谢今天的相遇，愿你一直好运连连。,四川,否,https://i1.hdslb.com/bfs/face/8ffc30d30878b71a0fa4028f77a74b380c5c4f75.jpg
